url,content,dataset,period,duplicate_count,alpha_engagement,beta_engagement,total_engagement,source_engagement,selection_phase,priority_measures_hit,inclusion_prob,design_weight,cluster_weight,stratum_seed
http://x/one/01/46,viral text 4,one,2026-01,5,13123.569082683778,0.0,13123.569082683778,437.452302756126,priority,1,1.0,1.0,5.0,992378095
http://x/one/01/90,text one 01 90,one,2026-01,1,6.0,0.0,6.0,0.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/102,text one 01 102,one,2026-01,1,6.0,0.0,6.0,1.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/145,text one 01 145,one,2026-01,1,6.0,0.0,6.0,0.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/169,text one 01 169,one,2026-01,1,6.0,0.0,6.0,1.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/170,viral text 2,one,2026-01,3,2577.0728685001563,0.0,2577.0728685001563,85.9024289500052,priority,1,1.0,1.0,3.0,992378095
http://x/one/01/198,text one 01 198,one,2026-01,1,6.0,0.0,6.0,0.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/217,text one 01 217,one,2026-01,1,6.0,0.0,6.0,1.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/246,text one 01 246,one,2026-01,1,6.0,0.0,6.0,1.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/247,text one 01 247,one,2026-01,1,6.0,0.0,6.0,0.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/297,text one 01 297,one,2026-01,1,6.0,0.0,6.0,0.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/312,text one 01 312,one,2026-01,1,6.0,0.0,6.0,0.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/334,text one 01 334,one,2026-01,1,6.0,0.0,6.0,0.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/354,text one 01 354,one,2026-01,1,6.0,0.0,6.0,1.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/356,text one 01 356,one,2026-01,1,6.0,0.0,6.0,1.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/363,text one 01 363,one,2026-01,1,6.0,0.0,6.0,0.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/364,text one 01 364,one,2026-01,1,6.0,0.0,6.0,0.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/385,text one 01 385,one,2026-01,1,6.0,0.0,6.0,1.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/392,text one 01 392,one,2026-01,1,6.0,0.0,6.0,0.0,priority,1,1.0,1.0,1.0,992378095
http://x/one/01/79,text one 01 79,one,2026-01,1,3.0,0.0,3.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/76,text one 01 76,one,2026-01,1,0.0,0.0,0.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/341,text one 01 341,one,2026-01,1,3.0,0.0,3.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/349,text one 01 349,one,2026-01,1,3.0,0.0,3.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/60,text one 01 60,one,2026-01,1,0.0,0.0,0.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/307,text one 01 307,one,2026-01,1,6.0,0.0,6.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/125,text one 01 125,one,2026-01,1,3.0,0.0,3.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/225,text one 01 225,one,2026-01,1,6.0,0.0,6.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/121,text one 01 121,one,2026-01,1,3.0,0.0,3.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/328,text one 01 328,one,2026-01,1,3.0,0.0,3.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/93,text one 01 93,one,2026-01,1,6.0,0.0,6.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/333,text one 01 333,one,2026-01,1,0.0,0.0,0.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/140,text one 01 140,one,2026-01,1,3.0,0.0,3.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/70,text one 01 70,one,2026-01,1,0.0,0.0,0.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/2,text one 01 2,one,2026-01,1,3.0,0.0,3.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/239,text one 01 239,one,2026-01,1,0.0,0.0,0.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/53,text one 01 53,one,2026-01,1,0.0,0.0,0.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/216,text one 01 216,one,2026-01,1,0.0,0.0,0.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/38,text one 01 38,one,2026-01,1,3.0,0.0,3.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/378,text one 01 378,one,2026-01,1,0.0,0.0,0.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/173,text one 01 173,one,2026-01,1,0.0,0.0,0.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/268,text one 01 268,one,2026-01,1,3.0,0.0,3.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/233,text one 01 233,one,2026-01,1,3.0,0.0,3.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/344,text one 01 344,one,2026-01,1,0.0,0.0,0.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/257,text one 01 257,one,2026-01,1,3.0,0.0,3.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/207,text one 01 207,one,2026-01,1,3.0,0.0,3.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/210,text one 01 210,one,2026-01,1,6.0,0.0,6.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/240,text one 01 240,one,2026-01,1,6.0,0.0,6.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/278,text one 01 278,one,2026-01,1,0.0,0.0,0.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/248,text one 01 248,one,2026-01,1,3.0,0.0,3.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/35,text one 01 35,one,2026-01,1,6.0,0.0,6.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/370,text one 01 370,one,2026-01,1,3.0,0.0,3.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/72,text one 01 72,one,2026-01,1,0.0,0.0,0.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/397,text one 01 397,one,2026-01,1,6.0,0.0,6.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/147,text one 01 147,one,2026-01,1,0.0,0.0,0.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/92,text one 01 92,one,2026-01,1,6.0,0.0,6.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/274,text one 01 274,one,2026-01,1,6.0,0.0,6.0,1.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
http://x/one/01/238,text one 01 238,one,2026-01,1,6.0,0.0,6.0,0.0,remainder,0,0.1578947368421052,6.333333333333334,6.333333333333334,992378095
