dataset,month,count
pro_vaccine,2025-09,1217
pro_vaccine,2025-10,648
pro_vaccine,2025-11,617
pro_vaccine,2025-12,683
pro_vaccine,2026-01,553
pro_vaccine,2026-02,704
pro_vaccine,2026-03,511
pro_vaccine,2026-04,659
pro_vaccine,2026-05,539
pro_vaccine,2026-06,426
pro_vaccine,2026-07,399
pro_vaccine,2026-08,946
anti_vaccine,2025-08,23
anti_vaccine,2025-09,6301
anti_vaccine,2025-10,4422
anti_vaccine,2025-11,4352
anti_vaccine,2025-12,5198
anti_vaccine,2026-01,3946
anti_vaccine,2026-02,3241
anti_vaccine,2026-03,4209
anti_vaccine,2026-04,4601
anti_vaccine,2026-05,4165
anti_vaccine,2026-06,4154
anti_vaccine,2026-07,3725
anti_vaccine,2026-08,7328
politicians,2025-08,19
politicians,2025-09,3443
politicians,2025-10,2171
politicians,2025-11,1912
politicians,2025-12,1755
politicians,2026-01,1391
politicians,2026-02,1479
politicians,2026-03,1581
politicians,2026-04,1941
politicians,2026-05,1982
politicians,2026-06,1639
politicians,2026-07,1898
politicians,2026-08,3839
journalists,2025-08,86
journalists,2025-09,11104
journalists,2025-10,6294
journalists,2025-11,4939
journalists,2025-12,5908
journalists,2026-01,4730
journalists,2026-02,6609
journalists,2026-03,4957
journalists,2026-04,6731
journalists,2026-05,6108
journalists,2026-06,4903
journalists,2026-07,5771
journalists,2026-08,14109
