month,dataset,population_n,sample_quota,actual_quota,top_pct,top_engagement_n,top_content_engagement_n,selected_by_both_n,unique_high_engagement_n,final_sample_n,random_fill_n
2025-08,anti_vaccine,23,2,2,0.05,2,2,0,4,2,0
2025-08,journalists,86,9,9,0.05,5,5,0,10,9,0
2025-08,politicians,19,2,2,0.05,1,1,0,2,2,0
2025-09,anti_vaccine,6301,571,571,0.05,316,316,0,632,571,0
2025-09,journalists,11104,1007,1007,0.05,556,556,40,1072,1007,0
2025-09,politicians,3443,312,312,0.05,173,173,12,334,312,0
2025-09,pro_vaccine,1217,110,110,0.05,61,61,0,122,110,0
2025-10,anti_vaccine,4422,442,442,0.05,222,222,2,442,442,0
2025-10,journalists,6294,630,630,0.05,315,315,34,596,630,34
2025-10,politicians,2171,217,217,0.05,109,109,7,211,217,6
2025-10,pro_vaccine,648,65,65,0.05,33,33,5,61,65,4
2025-11,anti_vaccine,4352,435,435,0.05,218,218,1,435,435,0
2025-11,journalists,4939,494,494,0.05,247,247,28,466,494,28
2025-11,politicians,1912,191,191,0.05,96,96,3,189,191,2
2025-11,pro_vaccine,617,62,62,0.05,31,31,1,61,62,1
2025-12,anti_vaccine,5198,520,520,0.05,260,260,1,519,520,1
2025-12,journalists,5908,591,591,0.05,296,296,35,557,591,34
2025-12,politicians,1755,175,175,0.05,88,88,5,171,175,4
2025-12,pro_vaccine,683,68,68,0.05,35,35,0,70,68,0
2026-01,anti_vaccine,3946,395,395,0.05,198,198,2,394,395,1
2026-01,journalists,4730,473,473,0.05,237,237,17,457,473,16
2026-01,politicians,1391,139,139,0.05,70,70,1,139,139,0
2026-01,pro_vaccine,553,55,55,0.05,28,28,0,56,55,0
2026-02,anti_vaccine,3241,324,324,0.05,163,163,1,325,324,0
2026-02,journalists,6609,661,661,0.05,331,331,16,646,661,15
2026-02,politicians,1479,148,148,0.05,74,74,0,148,148,0
2026-02,pro_vaccine,704,70,70,0.05,36,36,0,72,70,0
2026-03,anti_vaccine,4209,421,421,0.05,211,211,3,419,421,2
2026-03,journalists,4957,496,496,0.05,248,248,15,481,496,15
2026-03,politicians,1581,158,158,0.05,80,80,2,158,158,0
2026-03,pro_vaccine,511,51,51,0.05,26,26,2,50,51,1
2026-04,anti_vaccine,4601,460,460,0.05,231,231,1,461,460,0
2026-04,journalists,6731,673,673,0.05,337,337,30,644,673,29
2026-04,politicians,1941,194,194,0.05,98,98,2,194,194,0
2026-04,pro_vaccine,659,66,66,0.05,33,33,0,66,66,0
2026-05,anti_vaccine,4165,416,416,0.05,209,209,0,418,416,0
2026-05,journalists,6108,611,611,0.05,306,306,16,596,611,15
2026-05,politicians,1982,198,198,0.05,100,100,6,194,198,4
2026-05,pro_vaccine,539,54,54,0.05,27,27,0,54,54,0
2026-06,anti_vaccine,4154,415,415,0.05,208,208,0,416,415,0
2026-06,journalists,4903,490,490,0.05,246,246,25,467,490,23
2026-06,politicians,1639,164,164,0.05,82,82,5,159,164,5
2026-06,pro_vaccine,426,43,43,0.05,22,22,1,43,43,0
2026-07,anti_vaccine,3725,372,372,0.05,187,187,2,372,372,0
2026-07,journalists,5771,577,577,0.05,289,289,14,564,577,13
2026-07,politicians,1898,190,190,0.05,95,95,3,187,190,3
2026-07,pro_vaccine,399,40,40,0.05,20,20,0,40,40,0
2026-08,anti_vaccine,7328,559,559,0.05,367,367,1,733,559,0
2026-08,journalists,14109,1076,1076,0.05,706,706,75,1337,1076,0
2026-08,politicians,3839,293,293,0.05,192,192,13,371,293,0
2026-08,pro_vaccine,946,72,72,0.05,48,48,6,90,72,0
