month,dataset,count,monthly_total,dataset_proportion,monthly_sample_size,sample_quota
2025-08,anti_vaccine,23,128,0.1796875,13,2
2025-08,journalists,86,128,0.671875,13,9
2025-08,politicians,19,128,0.1484375,13,2
2025-09,anti_vaccine,6301,22065,0.2855653750283254,2000,571
2025-09,journalists,11104,22065,0.5032404260140494,2000,1007
2025-09,politicians,3443,22065,0.1560389757534557,2000,312
2025-09,pro_vaccine,1217,22065,0.0551552232041695,2000,110
2025-10,anti_vaccine,4422,13535,0.32670853343184336,1354,442
2025-10,journalists,6294,13535,0.465016623568526,1354,630
2025-10,politicians,2171,13535,0.16039896564462505,1354,217
2025-10,pro_vaccine,648,13535,0.04787587735500554,1354,65
2025-11,anti_vaccine,4352,11820,0.3681895093062606,1182,435
2025-11,journalists,4939,11820,0.41785109983079527,1182,494
2025-11,politicians,1912,11820,0.16175972927241963,1182,191
2025-11,pro_vaccine,617,11820,0.05219966159052453,1182,62
2025-12,anti_vaccine,5198,13544,0.3837861783815712,1354,520
2025-12,journalists,5908,13544,0.4362079149438866,1354,591
2025-12,politicians,1755,13544,0.12957767277023036,1354,175
2025-12,pro_vaccine,683,13544,0.05042823390431187,1354,68
2026-01,anti_vaccine,3946,10620,0.37156308851224107,1062,395
2026-01,journalists,4730,10620,0.4453860640301318,1062,473
2026-01,politicians,1391,10620,0.13097928436911488,1062,139
2026-01,pro_vaccine,553,10620,0.05207156308851224,1062,55
2026-02,anti_vaccine,3241,12033,0.26934264107038974,1203,324
2026-02,journalists,6609,12033,0.5492395911244079,1203,661
2026-02,politicians,1479,12033,0.12291199202193967,1203,148
2026-02,pro_vaccine,704,12033,0.058505775783262694,1203,70
2026-03,anti_vaccine,4209,11258,0.37386747201989695,1126,421
2026-03,journalists,4957,11258,0.4403091135192752,1126,496
2026-03,politicians,1581,11258,0.1404334695327767,1126,158
2026-03,pro_vaccine,511,11258,0.045389944928051165,1126,51
2026-04,anti_vaccine,4601,13932,0.33024691358024694,1393,460
2026-04,journalists,6731,13932,0.4831323571633649,1393,673
2026-04,politicians,1941,13932,0.1393195521102498,1393,194
2026-04,pro_vaccine,659,13932,0.047301177146138386,1393,66
2026-05,anti_vaccine,4165,12794,0.32554322338596214,1279,416
2026-05,journalists,6108,12794,0.4774112865405659,1279,611
2026-05,politicians,1982,12794,0.1549163670470533,1279,198
2026-05,pro_vaccine,539,12794,0.042129123026418636,1279,54
2026-06,anti_vaccine,4154,11122,0.37349397590361444,1112,415
2026-06,journalists,4903,11122,0.44083797878079484,1112,490
2026-06,politicians,1639,11122,0.1473655817299047,1112,164
2026-06,pro_vaccine,426,11122,0.03830246358568603,1112,43
2026-07,anti_vaccine,3725,11793,0.31586534384804543,1179,372
2026-07,journalists,5771,11793,0.4893580937844484,1179,577
2026-07,politicians,1898,11793,0.1609429322479437,1179,190
2026-07,pro_vaccine,399,11793,0.033833630119562454,1179,40
2026-08,anti_vaccine,7328,26222,0.27945999542369004,2000,559
2026-08,journalists,14109,26222,0.538059644573259,2000,1076
2026-08,politicians,3839,26222,0.1464037830829075,2000,293
2026-08,pro_vaccine,946,26222,0.03607657692014339,2000,72
