period,dataset,count,sd,period_total,target,capped,share,raw_quota,quota,stratum_rate,stratum_weight,realized_rate,period_weight
2025-08,anti_vaccine,10,35.36087134421637,56,6,False,0.1785714285714285,1.0714285714285714,1,0.1,10.0,0.1071428571428571,9.333333333333334
2025-08,journalists,34,27633.05743289946,56,6,False,0.6071428571428571,3.6428571428571423,4,0.1176470588235294,8.5,0.1071428571428571,9.333333333333334
2025-08,politicians,12,8.971887913213848,56,6,False,0.2142857142857142,1.2857142857142856,1,0.0833333333333333,12.0,0.1071428571428571,9.333333333333334
2025-09,anti_vaccine,2279,76526.29938783837,11379,1138,False,0.2002812197908428,227.9200281219791,228,0.1000438788942518,9.99561403508772,0.1000087881184638,9.999121265377855
2025-09,journalists,6007,23841.33550908592,11379,1138,False,0.5279022761226821,600.7527902276123,601,0.1000499417346429,9.995008319467551,0.1000087881184638,9.999121265377855
2025-09,politicians,2106,27977.38193812901,11379,1138,False,0.1850777748484049,210.61850777748484,210,0.0997150997150997,10.028571428571428,0.1000087881184638,9.999121265377855
2025-09,pro_vaccine,987,8531.979141218746,11379,1138,False,0.0867387292380701,98.7086738729238,99,0.1003039513677811,9.969696969696969,0.1000087881184638,9.999121265377855
2025-10,anti_vaccine,1752,25780.81362966849,6775,678,False,0.2585977859778597,175.32929889298893,175,0.0998858447488584,10.01142857142857,0.1000738007380073,9.992625368731565
2025-10,journalists,3220,9122.669226726544,6775,678,False,0.4752767527675277,322.23763837638376,322,0.1,10.0,0.1000738007380073,9.992625368731565
2025-10,politicians,1320,96922.02171833928,6775,678,False,0.1948339483394834,132.09741697416973,132,0.1,10.0,0.1000738007380073,9.992625368731565
2025-10,pro_vaccine,483,29417.21095654688,6775,678,False,0.0712915129151291,48.335645756457566,49,0.1014492753623188,9.857142857142856,0.1000738007380073,9.992625368731565
2025-11,anti_vaccine,1753,23829.27095414839,6041,604,False,0.2901837444131766,175.27098162555868,175,0.0998288648031945,10.017142857142856,0.0999834464492633,10.001655629139073
2025-11,journalists,2596,26422.10331459108,6041,604,False,0.4297301771229929,259.5570269822877,260,0.1001540832049306,9.984615384615385,0.0999834464492633,10.001655629139073
2025-11,politicians,1198,30367.355326603112,6041,604,False,0.1983115378248634,119.78016884621752,120,0.1001669449081803,9.983333333333333,0.0999834464492633,10.001655629139073
2025-11,pro_vaccine,494,42315.95082735502,6041,604,False,0.081774540638967,49.3918225459361,49,0.0991902834008097,10.081632653061224,0.0999834464492633,10.001655629139073
2025-12,anti_vaccine,1922,33862.14055773087,6311,631,False,0.3045476152749168,192.1695452384725,192,0.0998959417273673,10.010416666666668,0.09998415465061,10.001584786053884
2025-12,journalists,2913,24879.86678061324,6311,631,False,0.4615750277293614,291.2538424972271,291,0.0998970133882595,10.010309278350515,0.09998415465061,10.001584786053884
2025-12,politicians,980,12329.19078249575,6311,631,False,0.1552844240215496,97.98447155759786,98,0.1,10.0,0.09998415465061,10.001584786053884
2025-12,pro_vaccine,496,49635.85234411112,6311,631,False,0.078592932974172,49.59214070670258,50,0.1008064516129032,9.92,0.09998415465061,10.001584786053884
2026-01,anti_vaccine,1500,10292.829560095535,4834,483,False,0.3103020273065784,149.87587918907738,150,0.1,10.0,0.0999172527927182,10.008281573498964
2026-01,journalists,2109,31099.73759697805,4834,483,False,0.4362846503930492,210.7254861398428,211,0.1000474158368895,9.995260663507109,0.0999172527927182,10.008281573498964
2026-01,politicians,836,39328.69906691666,4834,483,False,0.1729416632188663,83.53082333471245,83,0.0992822966507177,10.072289156626503,0.0999172527927182,10.008281573498964
2026-01,pro_vaccine,389,7344.543920069443,4834,483,False,0.080471659081506,38.8678113363674,39,0.1002570694087403,9.974358974358974,0.0999172527927182,10.008281573498964
2026-02,anti_vaccine,1301,28774.59872403272,5464,546,False,0.238103953147877,130.00475841874086,130,0.0999231360491929,10.007692307692308,0.099926793557833,10.007326007326007
2026-02,journalists,2870,27921.56013873277,5464,546,False,0.5252562225475842,286.7898975109809,287,0.1,10.0,0.099926793557833,10.007326007326007
2026-02,politicians,808,37269.7104235754,5464,546,False,0.1478770131771596,80.74084919472914,81,0.1002475247524752,9.975308641975309,0.099926793557833,10.007326007326007
2026-02,pro_vaccine,485,12043.373403218033,5464,546,False,0.0887628111273792,48.46449487554905,48,0.0989690721649484,10.104166666666668,0.099926793557833,10.007326007326007
2026-03,anti_vaccine,1684,15296.050304862443,5410,541,False,0.311275415896488,168.4,168,0.0997624703087886,10.023809523809524,0.1,10.0
2026-03,journalists,2425,26344.540465899787,5410,541,False,0.4482439926062846,242.5,243,0.1002061855670103,9.979423868312756,0.1,10.0
2026-03,politicians,894,22724.13670825797,5410,541,False,0.1652495378927911,89.39999999999999,89,0.0995525727069351,10.044943820224718,0.1,10.0
2026-03,pro_vaccine,407,10125.34424812997,5410,541,False,0.0752310536044362,40.7,41,0.1007371007371007,9.926829268292684,0.1,10.0
2026-04,anti_vaccine,1873,16030.997370613764,6278,628,False,0.2983434214718063,187.3596686842944,187,0.0998398291510945,10.016042780748664,0.1000318572793883,9.996815286624203
2026-04,journalists,2907,16481.219816299686,6278,628,False,0.4630455559095253,290.7926091111819,291,0.1001031991744066,9.989690721649485,0.1000318572793883,9.996815286624203
2026-04,politicians,1023,22182.63337205888,6278,628,False,0.1629499840713603,102.33258999681426,102,0.0997067448680351,10.029411764705882,0.1000318572793883,9.996815286624203
2026-04,pro_vaccine,475,26917.43751000954,6278,628,False,0.075661038547308,47.51513220770946,48,0.1010526315789473,9.895833333333334,0.1000318572793883,9.996815286624203
2026-05,anti_vaccine,1677,8823.357279891658,5881,588,False,0.2851555857847305,167.67148444142154,168,0.1001788908765653,9.982142857142856,0.0999829960891005,10.001700680272108
2026-05,journalists,2783,9632.691307968104,5881,588,False,0.4732188403332766,278.25267811596666,278,0.099892202659001,10.010791366906474,0.0999829960891005,10.001700680272108
2026-05,politicians,1039,32205.803229978184,5881,588,False,0.1766706342458765,103.88233293657542,104,0.1000962463907603,9.990384615384617,0.0999829960891005,10.001700680272108
2026-05,pro_vaccine,382,13482.484664636271,5881,588,False,0.0649549396361163,38.19350450603638,38,0.0994764397905759,10.05263157894737,0.0999829960891005,10.001700680272108
