period,dataset,planned_quota,population,quota,drawn,priority_pool,priority_drawn,remainder_drawn,top_k_per_measure,selected_by_all_measures,priority_overlap_pct,remainder_pool,min_inclusion_prob,max_design_weight,tied_at_cutoff,tied_taken
2025-08,anti_vaccine,1,10,1,1,1,0,1,1,1,100.0,9,0.1111111111111111,9.0,2,2
2025-08,journalists,4,34,4,4,4,3,1,2,0,0.0,30,0.0333333333333333,30.0,2,2
2025-08,politicians,1,12,1,1,1,0,1,1,1,100.0,11,0.0909090909090909,11.0,2,2
2025-09,anti_vaccine,228,2279,228,228,227,182,46,114,1,0.44,2052,0.0224171539961013,44.60869565217392,6,6
2025-09,journalists,601,6007,601,601,493,480,121,301,109,22.11,5514,0.0219441421835328,45.5702479338843,4,4
2025-09,politicians,210,2106,210,210,187,168,42,106,25,13.37,1919,0.0218863991662324,45.69047619047619,2,2
2025-09,pro_vaccine,99,987,99,99,99,79,20,50,1,1.01,888,0.0225225225225225,44.4,3,3
2025-10,anti_vaccine,175,1752,175,175,174,140,35,88,2,1.15,1578,0.0221799746514575,45.08571428571428,8,7
2025-10,journalists,322,3220,322,322,254,254,68,161,68,26.77,2966,0.0229265003371544,43.61764705882353,2,2
2025-10,politicians,132,1320,132,132,118,105,27,66,14,11.86,1202,0.0224625623960066,44.51851851851852,2,2
2025-10,pro_vaccine,49,483,49,49,45,39,10,25,5,11.11,438,0.0228310502283105,43.8,2,2
2025-11,anti_vaccine,175,1753,175,175,174,140,35,88,2,1.15,1579,0.0221659278024065,45.114285714285714,12,6
2025-11,journalists,260,2596,260,260,199,199,61,130,61,30.65,2397,0.0254484772632457,39.29508196721312,2,2
2025-11,politicians,120,1198,120,120,114,96,24,60,6,5.26,1084,0.022140221402214,45.16666666666667,2,2
2025-11,pro_vaccine,49,494,49,49,49,39,10,25,1,2.04,445,0.0224719101123595,44.5,3,2
2025-12,anti_vaccine,192,1922,192,192,191,153,39,97,3,1.57,1731,0.022530329289428,44.38461538461538,24,20
2025-12,journalists,291,2913,291,291,236,232,59,146,56,23.73,2677,0.0220395965633171,45.37288135593221,2,2
2025-12,politicians,98,980,98,98,91,78,20,49,7,7.69,889,0.0224971878515185,44.45,3,2
2025-12,pro_vaccine,50,496,50,50,50,40,10,25,0,0.0,446,0.0224215246636771,44.6,4,4
2026-01,anti_vaccine,150,1500,150,150,148,120,30,75,2,1.35,1352,0.022189349112426,45.06666666666667,8,7
2026-01,journalists,211,2109,211,211,169,168,43,106,43,25.44,1940,0.0221649484536082,45.11627906976744,3,2
2026-01,politicians,83,836,83,83,81,66,17,42,3,3.7,755,0.0225165562913907,44.41176470588236,2,2
2026-01,pro_vaccine,39,389,39,39,40,31,8,20,0,0.0,349,0.0229226361031518,43.625,3,2
2026-02,anti_vaccine,130,1301,130,130,128,104,26,66,4,3.12,1173,0.0221653878942881,45.11538461538462,12,3
2026-02,journalists,287,2870,287,287,248,229,58,144,40,16.13,2622,0.0221205186880244,45.206896551724135,2,2
2026-02,politicians,81,808,81,81,80,64,17,41,2,2.5,728,0.0233516483516483,42.8235294117647,3,2
2026-02,pro_vaccine,48,485,48,48,50,38,10,25,0,0.0,435,0.0229885057471264,43.5,4,3
2026-03,anti_vaccine,168,1684,168,168,166,134,34,85,4,2.41,1518,0.0223978919631093,44.647058823529406,5,3
2026-03,journalists,243,2425,243,243,212,194,49,122,32,15.09,2213,0.0221418888386805,45.16326530612245,3,2
2026-03,politicians,89,894,89,89,86,71,18,45,4,4.65,808,0.0222772277227722,44.88888888888889,4,3
2026-03,pro_vaccine,41,407,41,41,40,32,9,21,2,5.0,367,0.0245231607629427,40.77777777777778,3,3
2026-04,anti_vaccine,187,1873,187,187,186,149,38,94,2,1.08,1687,0.0225251926496739,44.39473684210526,5,5
2026-04,journalists,291,2907,291,291,233,232,59,146,59,25.32,2674,0.0220643231114435,45.32203389830508,2,2
2026-04,politicians,102,1023,102,102,100,81,21,52,4,4.0,923,0.0227518959913326,43.95238095238096,3,3
2026-04,pro_vaccine,48,475,48,48,48,38,10,24,0,0.0,427,0.0234192037470726,42.7,4,3
2026-05,anti_vaccine,168,1677,168,168,168,134,34,84,0,0.0,1509,0.0225314777998674,44.38235294117647,4,2
2026-05,journalists,278,2783,278,278,234,222,56,140,46,19.66,2549,0.0219693997646135,45.51785714285714,2,2
2026-05,politicians,104,1039,104,104,92,83,21,52,12,13.04,947,0.0221752903907074,45.095238095238095,2,2
2026-05,pro_vaccine,38,382,38,38,40,30,8,20,0,0.0,342,0.023391812865497,42.75,4,4
2026-06,anti_vaccine,181,1808,181,181,180,144,37,91,2,1.11,1628,0.0227272727272727,44.0,2,2
2026-06,journalists,227,2274,227,227,180,180,47,114,48,26.67,2094,0.0224450811843361,44.5531914893617,2,2
2026-06,politicians,88,877,88,88,82,70,18,44,6,7.32,795,0.0226415094339622,44.16666666666667,4,2
2026-06,pro_vaccine,30,302,30,30,31,24,6,16,1,3.23,271,0.022140221402214,45.16666666666667,2,2
2026-07,anti_vaccine,169,1687,169,169,166,135,34,85,4,2.41,1521,0.0223537146614069,44.735294117647065,10,10
2026-07,journalists,262,2623,262,262,223,209,53,132,41,18.39,2400,0.0220833333333333,45.283018867924525,3,3
2026-07,politicians,102,1018,102,102,96,81,21,51,6,6.25,922,0.0227765726681128,43.90476190476191,2,2
2026-07,pro_vaccine,27,274,27,27,28,21,6,14,0,0.0,246,0.024390243902439,41.0,2,2
2026-08,anti_vaccine,326,3260,326,326,322,260,66,163,4,1.24,2938,0.0224642614023145,44.51515151515152,12,5
2026-08,journalists,598,5983,598,598,466,466,132,300,134,28.76,5517,0.0239260467645459,41.79545454545454,3,3
2026-08,politicians,206,2058,206,206,177,164,42,103,29,16.38,1881,0.0223285486443381,44.785714285714285,2,2
2026-08,pro_vaccine,67,673,67,67,62,53,14,34,6,9.68,611,0.0229132569558101,43.642857142857146,2,2
