dataset,measure,scope,n,nonzero_pct,total,mean,sd,max,p50,p75,p90,p95,p99,p99.9
pro_vaccine,facebook_engagement,all,5847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro_vaccine,facebook_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro_vaccine,pinterest_engagement,all,5847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro_vaccine,pinterest_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro_vaccine,youtube_engagement,all,5847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro_vaccine,youtube_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro_vaccine,instagram_engagement,all,5847,0.257,110.0,0.0188130665298443,0.6555025862302291,36.0,0.0,0.0,0.0,0.0,0.0,4.0
pro_vaccine,instagram_engagement,nonzero,15,0.257,110.0,7.333333333333333,11.043205193800436,36.0,4.0,4.0,22.79999999999999,33.2,35.44,35.944
pro_vaccine,x_engagement,all,5847,20.455,12518638.4,2141.0361552933127,24069.88518832749,1000635.1,0.0,0.0,525.0000000000011,4478.28999999999,42876.97799999997,244347.8874000115
pro_vaccine,x_engagement,nonzero,1196,20.455,12518638.4,10467.088963210705,52412.14246578461,1000635.1,447.2000000000001,4281.950000000001,18878.45,42250.2,164470.46,858403.4040000185
pro_vaccine,linkedin_engagement,all,5847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro_vaccine,linkedin_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pro_vaccine,content_engagement,all,5847,20.711,12518748.4,2141.054968359843,24069.883523529144,1000635.1,0.0,0.0,525.0000000000011,4478.28999999999,42876.97799999997,244347.8874000115
pro_vaccine,content_engagement,nonzero,1211,20.711,12518748.400000002,10337.529644921557,52099.11740561991,1000635.1,395.3,4190.35,18778.3,42080.65,163701.61000000068,854058.3120000554
pro_vaccine,source_engagement,all,5847,17.565,77652.0,13.280656747049768,208.68439473668408,8439.0,0.0,0.0,5.0,21.0,111.0,3039.9560000000965
pro_vaccine,source_engagement,nonzero,1027,17.565,77652.0,75.61051606621227,493.37565825870365,8439.0,7.0,25.0,62.39999999999998,150.69999999999993,1305.440000000002,8266.306000000515
anti_vaccine,facebook_engagement,all,22506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anti_vaccine,facebook_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anti_vaccine,pinterest_engagement,all,22506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anti_vaccine,pinterest_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
