dataset,period,stratum_n,top_k,union,intersection,jaccard
pro_vaccine,2025-09,987,50,99,1,0.0101010101010101
pro_vaccine,2025-10,483,25,45,5,0.1111111111111111
pro_vaccine,2025-11,494,25,49,1,0.0204081632653061
pro_vaccine,2025-12,496,25,50,0,0.0
pro_vaccine,2026-01,389,20,40,0,0.0
pro_vaccine,2026-02,485,25,50,0,0.0
pro_vaccine,2026-03,407,21,40,2,0.05
pro_vaccine,2026-04,475,24,48,0,0.0
pro_vaccine,2026-05,382,20,40,0,0.0
pro_vaccine,2026-06,302,16,31,1,0.032258064516129
pro_vaccine,2026-07,274,14,28,0,0.0
pro_vaccine,2026-08,673,34,62,6,0.0967741935483871
anti_vaccine,2025-08,10,1,1,1,1.0
anti_vaccine,2025-09,2279,114,227,1,0.0044052863436123
anti_vaccine,2025-10,1752,88,174,2,0.0114942528735632
anti_vaccine,2025-11,1753,88,174,2,0.0114942528735632
anti_vaccine,2025-12,1922,97,191,3,0.0157068062827225
anti_vaccine,2026-01,1500,75,148,2,0.0135135135135135
anti_vaccine,2026-02,1301,66,128,4,0.03125
anti_vaccine,2026-03,1684,85,166,4,0.0240963855421686
anti_vaccine,2026-04,1873,94,186,2,0.010752688172043
anti_vaccine,2026-05,1677,84,168,0,0.0
anti_vaccine,2026-06,1808,91,180,2,0.0111111111111111
anti_vaccine,2026-07,1687,85,166,4,0.0240963855421686
anti_vaccine,2026-08,3260,163,322,4,0.0124223602484472
politicians,2025-08,12,1,1,1,1.0
politicians,2025-09,2106,106,187,25,0.1336898395721925
politicians,2025-10,1320,66,118,14,0.1186440677966101
politicians,2025-11,1198,60,114,6,0.0526315789473684
politicians,2025-12,980,49,91,7,0.0769230769230769
politicians,2026-01,836,42,81,3,0.037037037037037
politicians,2026-02,808,41,80,2,0.025
politicians,2026-03,894,45,86,4,0.0465116279069767
politicians,2026-04,1023,52,100,4,0.04
politicians,2026-05,1039,52,92,12,0.1304347826086956
politicians,2026-06,877,44,82,6,0.073170731707317
politicians,2026-07,1018,51,96,6,0.0625
politicians,2026-08,2058,103,177,29,0.1638418079096045
journalists,2025-08,34,2,4,0,0.0
journalists,2025-09,6007,301,493,109,0.2210953346855984
journalists,2025-10,3220,161,254,68,0.2677165354330709
journalists,2025-11,2596,130,199,61,0.3065326633165829
journalists,2025-12,2913,146,236,56,0.2372881355932203
journalists,2026-01,2109,106,169,43,0.2544378698224852
journalists,2026-02,2870,144,248,40,0.1612903225806451
journalists,2026-03,2425,122,212,32,0.1509433962264151
journalists,2026-04,2907,146,233,59,0.2532188841201717
journalists,2026-05,2783,140,234,46,0.1965811965811965
journalists,2026-06,2274,114,180,48,0.2666666666666666
journalists,2026-07,2623,132,223,41,0.1838565022421524
journalists,2026-08,5983,300,466,134,0.2875536480686695
