dataset,measure,total,share,nonzero_posts
pro_vaccine,facebook_engagement,0.0,0.0,0
pro_vaccine,pinterest_engagement,0.0,0.0,0
pro_vaccine,youtube_engagement,0.0,0.0,0
pro_vaccine,instagram_engagement,110.0,8.786820893373015e-06,15
pro_vaccine,x_engagement,12518638.4,0.9999912131791068,1196
pro_vaccine,linkedin_engagement,0.0,0.0,0
anti_vaccine,facebook_engagement,0.0,0.0,0
anti_vaccine,pinterest_engagement,0.0,0.0,0
anti_vaccine,youtube_engagement,0.0,0.0,0
anti_vaccine,instagram_engagement,3126.0,5.9781526746718816e-05,17
anti_vaccine,x_engagement,52287274.900000006,0.9999402184732532,7649
anti_vaccine,linkedin_engagement,0.0,0.0,0
politicians,facebook_engagement,0.0,0.0,0
politicians,pinterest_engagement,0.0,0.0,0
politicians,youtube_engagement,0.0,0.0,0
politicians,instagram_engagement,31925.0,0.0006750879623755,17
politicians,x_engagement,47258208.7,0.9993249120376244,4907
politicians,linkedin_engagement,0.0,0.0,0
journalists,facebook_engagement,0.0,0.0,0
journalists,pinterest_engagement,0.0,0.0,0
journalists,youtube_engagement,0.0,0.0,0
journalists,instagram_engagement,0.0,0.0,0
journalists,x_engagement,73689717.80000001,1.0,13277
journalists,linkedin_engagement,0.0,0.0,0
