dataset,month,n,k,cutoff,tied_at_cutoff,tied_taken,arbitrary_share
pro_vaccine,2025-09,1217,61,15.0,3,2,0.03278688524590164
pro_vaccine,2025-10,648,33,12.0,2,1,0.030303030303030304
pro_vaccine,2025-11,617,31,11.0,4,3,0.0967741935483871
pro_vaccine,2025-12,683,35,19.0,2,2,0.05714285714285714
pro_vaccine,2026-01,553,28,15.0,3,2,0.07142857142857142
pro_vaccine,2026-02,704,36,13.0,6,1,0.027777777777777776
pro_vaccine,2026-03,511,26,20.0,1,1,0.038461538461538464
pro_vaccine,2026-04,659,33,2.0,12,1,0.030303030303030304
pro_vaccine,2026-05,539,27,7.0,4,3,0.1111111111111111
pro_vaccine,2026-06,426,22,24.0,2,2,0.09090909090909091
pro_vaccine,2026-07,399,20,7.0,2,1,0.05
pro_vaccine,2026-08,946,48,10.0,4,3,0.0625
anti_vaccine,2025-08,23,2,3.0,1,1,0.5
anti_vaccine,2025-09,6301,316,0.0,5986,1,0.0031645569620253164
anti_vaccine,2025-10,4422,222,1.0,70,18,0.08108108108108109
anti_vaccine,2025-11,4352,218,1.0,57,26,0.11926605504587157
anti_vaccine,2025-12,5198,260,1.0,85,77,0.29615384615384616
anti_vaccine,2026-01,3946,198,0.0,3758,10,0.050505050505050504
anti_vaccine,2026-02,3241,163,1.0,46,25,0.15337423312883436
anti_vaccine,2026-03,4209,211,1.0,48,31,0.14691943127962084
anti_vaccine,2026-04,4601,231,1.0,77,35,0.15151515151515152
anti_vaccine,2026-05,4165,209,1.0,74,36,0.1722488038277512
anti_vaccine,2026-06,4154,208,2.0,41,13,0.0625
anti_vaccine,2026-07,3725,187,2.0,46,24,0.12834224598930483
anti_vaccine,2026-08,7328,367,2.0,108,47,0.12806539509536785
politicians,2025-08,19,1,3.0,1,1,1.0
politicians,2025-09,3443,173,27.0,5,4,0.023121387283236993
politicians,2025-10,2171,109,16.0,2,2,0.01834862385321101
politicians,2025-11,1912,96,6.0,8,3,0.03125
politicians,2025-12,1755,88,5.0,5,2,0.022727272727272728
politicians,2026-01,1391,70,6.0,4,4,0.05714285714285714
politicians,2026-02,1479,74,3.0,10,3,0.04054054054054054
politicians,2026-03,1581,80,3.0,9,8,0.1
politicians,2026-04,1941,98,4.0,7,4,0.04081632653061224
politicians,2026-05,1982,100,13.0,6,4,0.04
politicians,2026-06,1639,82,5.0,3,1,0.012195121951219513
politicians,2026-07,1898,95,10.0,3,1,0.010526315789473684
politicians,2026-08,3839,192,20.0,4,1,0.005208333333333333
journalists,2025-08,86,5,7.0,1,1,0.2
journalists,2025-09,11104,556,29.0,11,10,0.017985611510791366
journalists,2025-10,6294,315,21.0,6,2,0.006349206349206349
journalists,2025-11,4939,247,42.0,2,2,0.008097165991902834
journalists,2025-12,5908,296,29.0,2,2,0.006756756756756757
journalists,2026-01,4730,237,18.0,6,2,0.008438818565400843
journalists,2026-02,6609,331,21.0,10,7,0.021148036253776436
journalists,2026-03,4957,248,39.0,3,2,0.008064516129032258
journalists,2026-04,6731,337,23.0,7,2,0.005934718100890208
journalists,2026-05,6108,306,25.0,3,1,0.0032679738562091504
journalists,2026-06,4903,246,33.0,5,1,0.0040650406504065045
journalists,2026-07,5771,289,30.0,4,4,0.01384083044982699
journalists,2026-08,14109,706,26.0,7,6,0.0084985835694051
