dataset,month,baseline_rows,frame_units,hybrid_quota
anti_vaccine,2025-08,23,10,1
journalists,2025-08,86,34,4
politicians,2025-08,19,12,1
anti_vaccine,2025-09,6301,2279,228
journalists,2025-09,11104,6007,601
politicians,2025-09,3443,2106,210
pro_vaccine,2025-09,1217,987,99
anti_vaccine,2025-10,4422,1752,175
journalists,2025-10,6294,3220,322
politicians,2025-10,2171,1320,132
pro_vaccine,2025-10,648,483,49
anti_vaccine,2025-11,4352,1753,175
journalists,2025-11,4939,2596,260
politicians,2025-11,1912,1198,120
pro_vaccine,2025-11,617,494,49
anti_vaccine,2025-12,5198,1922,192
journalists,2025-12,5908,2913,291
politicians,2025-12,1755,980,98
pro_vaccine,2025-12,683,496,50
anti_vaccine,2026-01,3946,1500,150
journalists,2026-01,4730,2109,211
politicians,2026-01,1391,836,83
pro_vaccine,2026-01,553,389,39
anti_vaccine,2026-02,3241,1301,130
journalists,2026-02,6609,2870,287
politicians,2026-02,1479,808,81
pro_vaccine,2026-02,704,485,48
anti_vaccine,2026-03,4209,1684,168
journalists,2026-03,4957,2425,243
politicians,2026-03,1581,894,89
pro_vaccine,2026-03,511,407,41
anti_vaccine,2026-04,4601,1873,187
journalists,2026-04,6731,2907,291
politicians,2026-04,1941,1023,102
pro_vaccine,2026-04,659,475,48
anti_vaccine,2026-05,4165,1677,168
journalists,2026-05,6108,2783,278
politicians,2026-05,1982,1039,104
pro_vaccine,2026-05,539,382,38
anti_vaccine,2026-06,4154,1808,181
journalists,2026-06,4903,2274,227
politicians,2026-06,1639,877,88
pro_vaccine,2026-06,426,302,30
anti_vaccine,2026-07,3725,1687,169
journalists,2026-07,5771,2623,262
politicians,2026-07,1898,1018,102
pro_vaccine,2026-07,399,274,27
anti_vaccine,2026-08,7328,3260,326
journalists,2026-08,14109,5983,598
politicians,2026-08,3839,2058,206
pro_vaccine,2026-08,946,673,67
